id;name
1;Общая
2;Компьютерная техника->Ноутбуки и аксессуары->Ноутбуки
3;Компьютерная техника->Ноутбуки и аксессуары->Сумки для ноутбуков
4;Компьютерная техника->Ноутбуки и аксессуары->Powerbank аккумуляторы
5;Компьютерная техника->Ноутбуки и аксессуары->Подставки для ноутбуков
6;Компьютерная техника->Мониторы
7;Компьютерная техника->Комплектующие->Материнские платы
8;Компьютерная техника->Комплектующие->Процессоры
9;Компьютерная техника->Комплектующие->Видеокарты
10;Компьютерная техника->Комплектующие->Оперативная память
11;Компьютерная техника->Комплектующие->Жесткие диски
12;Компьютерная техника->Комплектующие->SSD накопители
13;Компьютерная техника->Комплектующие->Звуковые карты
14;Компьютерная техника->Комплектующие->Оптические приводы
15;Компьютерная техника->Комплектующие->Корпуса
16;Компьютерная техника->Комплектующие->Блоки питания
17;Компьютерная техника->Комплектующие->Системы охлаждения
18;Компьютерная техника->Комплектующие->RAID и PCI контроллеры
19;Компьютерная техника->Сетевое оборудование->Wi-Fi оборудование
20;Компьютерная техника->Сетевое оборудование->3G / LTE модемы
21;Компьютерная техника->Сетевое оборудование->Антенны для Wi-Fi и 3G
22;Компьютерная техника->Сетевое оборудование->Powerline адаптеры
23;Компьютерная техника->Сетевое оборудование->Умные розетки
24;Компьютерная техника->Сетевое оборудование->NAS сервера
25;Компьютерная техника->Сетевое оборудование->Маршрутизаторы
26;Компьютерная техника->Сетевое оборудование->Коммутаторы
27;Детские товары и игрушки->Прогулки и детская комната->Коляски
28;Детские товары и игрушки->Прогулки и детская комната->Кроватки
29;Детские товары и игрушки->Прогулки и детская комната->Детские автокресла
30;Детские товары и игрушки->Прогулки и детская комната->Детские велокресла
31;Детские товары и игрушки->Прогулки и детская комната->Стульчики для кормления
32;Детские товары и игрушки->Прогулки и детская комната->Манежи
33;Детские товары и игрушки->Прогулки и детская комната->Умные часы и браслеты
34;Детские товары и игрушки->Прогулки и детская комната->Пеленальные столики
35;Детские товары и игрушки->Прогулки и детская комната->Слинги и кенгуру
36;Детские товары и игрушки->Прогулки и детская комната->Кресла-качалки
37;Детские товары и игрушки->Прогулки и детская комната->Радионяни
38;Детские товары и игрушки->Прогулки и детская комната->Ходунки
39;Детские товары и игрушки->Прогулки и детская комната->Настольные лампы
40;Детские товары и игрушки->Кормление и гигиена->Подгузники
41;Детские товары и игрушки->Кормление и гигиена->Соски и пустышки
42;Детские товары и игрушки->Кормление и гигиена->Бутылочки и поилки
43;Детские товары и игрушки->Кормление и гигиена->Стерилизаторы и подогреватели
44;Детские товары и игрушки->Кормление и гигиена->Молокоотсосы
45;Детские товары и игрушки->Игрушки и развлечения->Куклы
46;Детские товары и игрушки->Игрушки и развлечения->Конструкторы
47;Детские товары и игрушки->Игрушки и развлечения->Сборные модели (моделирование)
48;Детские товары и игрушки->Игрушки и развлечения->Автотреки и железные дороги
49;Детские товары и игрушки->Игрушки и развлечения->Мобили
50;Детские товары и игрушки->Игрушки и развлечения->3D ручки
51;Детские товары и игрушки->Активный отдых и улица->Детские велосипеды
52;Детские товары и игрушки->Активный отдых и улица->Роликовые коньки
53;Детские товары и игрушки->Активный отдых и улица->Гироборды и моноколеса
